LocalTime,Users,GET_Token_wCredentials,SBR_GET_Events_$EventID_Racecard,BET_PUT_Combinations_Racing,SBS_GET_Events_$EventId_SportCard,BET_POST_Bets_Win_Racing,SBS_GET_Events_$EventId_MarketGroupings_$MarketGrouping_Markets,BET_POST_Bets_Win_Sport,BET_POST_Bets_Quinella
1534344715514.0,9.0,0,0,776.7,0,0,0,0,0
1534344716026.0,9.0,0,146.4,0,0,0,0,0,0
1534344716221,9.0,0,0,0,0,0,0,0,0
1534344716636.0,9.333,0,0,0,0,1363.8,0,0,0
1534344717026.0,9.667,0,231.15,0,0,0,0,0,0
1534344717221,10.0,0,0,0,0,0,0,0,0
1534344717227.0,10.0,1024.0,0,0,0,0,0,0,0
1534344717514.0,10.0,0,0,421.0,0,0,0,0,0
1534344717636.0,10.0,0,0,0,0,791.0,0,0,0
1534344718026.0,10.0,0,243.2,0,0,0,0,0,0
1534344718221,10.0,0,0,0,0,0,0,0,0
1534344718514.0,10.0,0,0,670.65,0,0,0,0,0
1534344718636.0,10.0,0,0,0,0,398.0,0,0,0
1534344719026.0,10.0,0,118.95,0,0,0,0,0,0
1534344719221,10.0,0,0,0,0,0,0,0,0
1534344719514.0,10.0,0,0,402.9,0,0,0,0,0
1534344720026.0,10.0,0,119.0,0,0,0,0,0,0
1534344720221,10.0,0,0,0,0,0,0,0,0
1534344720514.0,10.333,0,0,530.0,0,0,0,0,0
1534344721026.0,10.667,0,136.5,0,0,0,0,0,0
1534344721221,11.0,0,0,0,0,0,0,0,0
1534344721227.0,11.0,816.0,0,0,0,0,0,0,0
1534344721514.0,11.0,0,0,412.7,0,0,0,0,0
1534344722026.0,11.0,0,120.6,0,0,0,0,0,0
1534344722221,11.0,0,0,0,0,0,0,0,0
1534344722465.0,11.0,0,0,0,580.0,0,0,0,0
1534344722466.0,11.0,0,0,0,0,0,0,0,324.0
1534344722514.0,11.0,0,0,347.0,0,0,0,0,0
1534344723026.0,11.0,0,117.85,0,0,0,0,0,0
1534344723221,11.0,0,0,0,0,0,0,0,0
1534344723514.0,11.0,0,0,740.8,0,0,0,0,0
1534344724026.0,11.0,0,115.0,0,0,0,0,0,0
1534344724186.0,11.0,0,0,0,0,0,329.0,0,0
1534344724221,11.0,0,0,0,0,0,0,0,0
1534344724465.0,11.25,0,0,0,278.0,0,0,0,0
1534344724514.0,11.5,0,0,896.95,0,0,0,0,0
1534344725026.0,11.75,0,142.7,0,0,0,0,0,0
1534344725221,12.0,0,0,0,0,0,0,0,0
1534344725227.0,12.0,797.0,0,0,0,0,0,0,0
1534344725508.0,12.0,0,0,0,0,0,0,684.0,0
1534344725514.0,12.0,0,0,429.0,0,0,0,0,0
1534344725636.0,12.0,0,0,0,0,386.0,0,0,0
1534344726026.0,12.0,0,122.6,0,0,0,0,0,0
1534344726186.0,12.0,0,0,0,0,0,229.0,0,0
1534344726221,12.0,0,0,0,0,0,0,0,0
1534344726466.0,12.0,0,0,0,0,0,0,0,371.0
1534344726636.0,12.0,0,0,0,0,416.0,0,0,0
1534344727026.0,12.0,0,121.0,0,0,0,0,0,0
1534344727221,12.0,0,0,0,0,0,0,0,0
1534344727465.0,12.0,0,0,0,302.0,0,0,0,0
1534344727508.0,12.0,0,0,0,0,0,0,440.0,0
1534344727514.0,12.0,0,0,659.5,0,0,0,0,0
1534344727636.0,12.0,0,0,0,0,453.0,0,0,0
1534344728026.0,12.0,0,119.0,0,0,0,0,0,0
1534344728221,12.0,0,0,0,0,0,0,0,0
1534344729026.0,12.333,0,119.9,0,0,0,0,0,0
1534344729186.0,12.667,0,0,0,0,0,286.0,0,0
1534344729221,13.0,0,0,0,0,0,0,0,0
1534344729227.0,13.0,1048.0,0,0,0,0,0,0,0
1534344729465.0,13.0,0,0,0,281.9,0,0,0,0
1534344729514.0,13.0,0,0,894.0,0,0,0,0,0
1534344730026.0,13.0,0,122.0,0,0,0,0,0,0
1534344730186.0,13.0,0,0,0,0,0,237.6,0,0
1534344730221,13.0,0,0,0,0,0,0,0,0
1534344730465.0,13.0,0,0,0,277.0,0,0,0,0
1534344730466.0,13.0,0,0,0,0,0,0,0,467.0
1534344730508.0,13.0,0,0,0,0,0,0,482.0,0
1534344730514.0,13.0,0,0,402.8,0,0,0,0,0
1534344731026.0,13.0,0,119.9,0,0,0,0,0,0
1534344731186.0,13.0,0,0,0,0,0,228.0,0,0
1534344731221,13.0,0,0,0,0,0,0,0,0
1534344731465.0,13.0,0,0,0,275.0,0,0,0,0
1534344731508.0,13.0,0,0,0,0,0,0,452.6,0
1534344731514.0,13.0,0,0,705.0,0,0,0,0,0
1534344732026.0,13.0,0,118.0,0,0,0,0,0,0
1534344732186.0,13.0,0,0,0,0,0,382.0,0,0
1534344732221,13.0,0,0,0,0,0,0,0,0
1534344732508.0,13.2,0,0,0,0,0,0,416.0,0
1534344732514.0,13.4,0,0,381.0,0,0,0,0,0
1534344732636.0,13.6,0,0,0,0,331.0,0,0,0
1534344733026.0,13.8,0,121.8,0,0,0,0,0,0
1534344733221,14.0,0,0,0,0,0,0,0,0
1534344733227.0,14.0,795.0,0,0,0,0,0,0,0
1534344733465.0,14.0,0,0,0,514.0,0,0,0,0
1534344733508.0,14.0,0,0,0,0,0,0,338.0,0
1534344733514.0,14.0,0,0,388.0,0,0,0,0,0
1534344733636.0,14.0,0,0,0,0,469.0,0,0,0
1534344734026.0,14.0,0,145.4,0,0,0,0,0,0
1534344734221,14.0,0,0,0,0,0,0,0,0
1534344734514.0,14.0,0,0,668.0,0,0,0,0,0
1534344735026.0,14.0,0,121.8,0,0,0,0,0,0
1534344735186.0,14.0,0,0,0,0,0,396.0,0,0
1534344735221,14.0,0,0,0,0,0,0,0,0
1534344735465.0,14.0,0,0,0,276.0,0,0,0,0
1534344735514.0,14.0,0,0,393.8,0,0,0,0,0
1534344736026.0,14.0,0,117.9,0,0,0,0,0,0
1534344736186.0,14.0,0,0,0,0,0,228.0,0,0
1534344736221,14.0,0,0,0,0,0,0,0,0
1534344736508.0,14.25,0,0,0,0,0,0,400.0,0
1534344736514.0,14.5,0,0,521.2,0,0,0,0,0
1534344737026.0,14.75,0,232.0,0,0,0,0,0,0
1534344737221,15.0,0,0,0,0,0,0,0,0
1534344737227.0,15.0,694.0,0,0,0,0,0,0,0
1534344737508.0,15.0,0,0,0,0,0,0,436.0,0
1534344738026.0,15.0,0,143.1,0,0,0,0,0,0
1534344738221,15.0,0,0,0,0,0,0,0,0
1534344738514.0,15.0,0,0,414.0,0,0,0,0,0
1534344738636.0,15.0,0,0,0,0,401.0,0,0,0
1534344739026.0,15.0,0,122.0,0,0,0,0,0,0
1534344739221,15.0,0,0,0,0,0,0,0,0
1534344739514.0,15.0,0,0,515.3,0,0,0,0,0
1534344740026.0,15.0,0,118.0,0,0,0,0,0,0
1534344740221,15.0,0,0,0,0,0,0,0,0
1534344740514.0,15.25,0,0,1326.5,0,0,0,0,0
1534344740636.0,15.5,0,0,0,0,1127.0,0,0,0
1534344741026.0,15.75,0,115.0,0,0,0,0,0,0
1534344741221,16.0,0,0,0,0,0,0,0,0
1534344741227.0,16.0,1011.0,0,0,0,0,0,0,0
1534344741465.0,16.0,0,0,0,277.0,0,0,0,0
1534344742026.0,16.0,0,142.5,0,0,0,0,0,0
1534344742221,16.0,0,0,0,0,0,0,0,0
1534344742465.0,16.0,0,0,0,278.0,0,0,0,0
1534344742514.0,16.0,0,0,762.6,0,0,0,0,0
1534344742636.0,16.0,0,0,0,0,474.0,0,0,0
1534344743026.0,16.0,0,117.8,0,0,0,0,0,0
1534344743186.0,16.0,0,0,0,0,0,326.1,0,0
1534344743221,16.0,0,0,0,0,0,0,0,0
1534344743465.0,16.0,0,0,0,280.0,0,0,0,0
1534344743466.0,16.0,0,0,0,0,0,0,0,352.0
1534344743514.0,16.0,0,0,740.1,0,0,0,0,0
1534344743636.0,16.0,0,0,0,0,405.0,0,0,0
1534344744026.0,16.0,0,116.8,0,0,0,0,0,0
1534344744186.0,16.0,0,0,0,0,0,325.0,0,0
1534344744221,16.0,0,0,0,0,0,0,0,0
1534344744508.0,16.333,0,0,0,0,0,0,460.55,0
1534344744514.0,16.667,0,0,537.2,0,0,0,0,0
1534344745221,17.0,0,0,0,0,0,0,0,0
1534344745227.0,17.0,754.0,0,0,0,0,0,0,0
1534344745508.0,17.0,0,0,0,0,0,0,419.0,0
1534344745514.0,17.0,0,0,388.9,0,0,0,0,0
1534344746026.0,17.0,0,238.3,0,0,0,0,0,0
1534344746465.0,17.0,0,0,0,564.0,0,0,0,0
1534344746514.0,17.0,0,0,368.95,0,0,0,0,0
1534344746636.0,17.0,0,0,0,0,413.0,0,0,0
1534344747026.0,17.0,0,125.2,0,0,0,0,0,0
1534344747514.0,17.0,0,0,414.0,0,0,0,0,0
