Errors,LocalTime,GET_Token_wCredentials,BB_GET_Favourites
0,1534344681784.0,1049.0,0
0,1534344683853.0,0,653.0
0,1534344697853.0,0,272.0
0,1534344701784.0,783.0,0
0,1534344703853.0,0,429.0
0,1534344712853.0,0,254.0
0,1534344718853.0,0,252.0
0,1534344722784.0,810.0,0
0,1534344724853.0,0,421.0
0,1534344729853.0,0,264.0
0,1534344733853.0,0,264.0
0,1534344740853.0,0,254.0
0,1534344743784.0,719.0,0
0,1534344744853.0,0,361.0
0,1534344745853.0,0,263.0
