Transaction,Percentile
IDM_POST_Register,1478.3
GET_Token_wCredentials,727.1
ACC_POST_Limits,623.5
WLT_POST_Creditcards,487.4
WLT_POST_Creditcards_$PayMethodId_Deposit,2089.0
