Errors,LocalTime,SBS_GET_NavHierarchy,SBS_GET_Competitions_$CompetitionID_Events_Outrights,SBS_GET_UpComingEvents,SBS_GET_Competitions_$GET_Competitions_$CompetitionID,SBS_GET_Competitions_$CompetitionId_Events,SBS_GET_Competitions_Events,SBS_GET_Competitions_$CompetitionId_Outrights,SBS_GET_Events_$EventId_SportCard,SBS_GET_Events_$EventId_MarketGroupings_$MarketGrouping_Markets
0,1534344681707.0,586.0,0,0,0,0,0,0,0,0
0,1534344685707.0,396.0,0,0,0,0,0,0,0,0
0,1534344686707.0,285.0,0,0,0,0,0,0,0,0
0,1534344690707.0,390.0,0,0,0,0,0,0,0,0
0,1534344691707.0,227.0,0,0,0,0,0,0,0,0
0,1534344695707.0,389.0,0,0,0,0,0,0,0,0
0,1534344696707.0,227.0,0,0,0,0,0,0,0,0
0,1534344697103.0,0,371.0,0,0,0,0,0,0,0
0,1534344701103.0,0,350.0,0,0,0,0,0,0,0
0,1534344701707.0,284.0,0,0,0,0,0,0,0,0
0,1534344702103.0,0,225.0,0,0,0,0,0,0,0
0,1534344702707.0,280.9,0,0,0,0,0,0,0,0
0,1534344705707.0,392.0,0,0,0,0,0,0,0,0
0,1534344706707.0,279.2,0,0,0,0,0,0,0,0
0,1534344707707.0,230.85,0,0,0,0,0,0,0,0
0,1534344708455.0,0,0,232.0,0,0,0,0,0,0
0,1534344709688.0,0,0,0,398.0,0,0,0,0,0
0,1534344710707.0,395.0,0,0,0,0,0,0,0,0
0,1534344711455.0,0,0,226.0,0,0,0,0,0,0
0,1534344711707.0,319.0,0,0,0,0,0,0,0,0
0,1534344712103.0,0,222.0,0,0,0,0,0,0,0
0,1534344712707.0,279.75,0,0,0,0,0,0,0,0
0,1534344712957.0,0,0,0,0,449.0,0,0,0,0
0,1534344713707.0,303.0,0,0,0,0,0,0,0,0
0,1534344715707.0,386.0,0,0,0,0,0,0,0,0
0,1534344716707.0,279.8,0,0,0,0,0,0,0,0
0,1534344717707.0,279.9,0,0,0,0,0,0,0,0
0,1534344718707.0,280.75,0,0,0,0,0,0,0,0
0,1534344720707.0,410.0,0,0,0,0,0,0,0,0
0,1534344721455.0,0,0,230.0,0,0,0,0,0,0
0,1534344721707.0,279.0,0,0,0,0,0,0,0,0
0,1534344722455.0,0,0,227.0,0,0,0,0,0,0
0,1534344723103.0,0,226.0,0,0,0,0,0,0,0
0,1534344723271.0,0,0,0,0,0,256.0,0,0,0
0,1534344723455.0,0,0,231.0,0,0,0,0,0,0
0,1534344723688.0,0,0,0,223.0,0,0,0,0,0
0,1534344723707.0,280.0,0,0,0,0,0,0,0,0
0,1534344724392.0,0,0,0,0,0,0,265.0,0,0
0,1534344724688.0,0,0,0,221.0,0,0,0,0,0
0,1534344724707.0,223.0,0,0,0,0,0,0,0,0
0,1534344725707.0,489.0,0,0,0,0,0,0,0,0
0,1534344726707.0,284.0,0,0,0,0,0,0,0,0
0,1534344727707.0,278.7,0,0,0,0,0,0,0,0
0,1534344728707.0,277.3,0,0,0,0,0,0,0,0
0,1534344729707.0,276.0,0,0,0,0,0,0,0,0
0,1534344730707.0,387.0,0,0,0,0,0,0,0,0
0,1534344731707.0,283.75,0,0,0,0,0,0,0,0
0,1534344732707.0,272.4,0,0,0,0,0,0,0,0
0,1534344733455.0,0,0,232.0,0,0,0,0,0,0
0,1534344733707.0,317.0,0,0,0,0,0,0,0,0
0,1534344734455.0,0,0,228.0,0,0,0,0,0,0
0,1534344734707.0,282.7,0,0,0,0,0,0,0,0
0,1534344734957.0,0,0,0,0,224.0,0,0,0,0
0,1534344735707.0,386.0,0,0,0,0,0,0,0,0
0,1534344736252.0,0,0,0,0,0,0,0,265.0,0
0,1534344736707.0,228.6,0,0,0,0,0,0,0,0
0,1534344737492.0,0,0,0,0,0,0,0,0,233.0
0,1534344738103.0,0,221.0,0,0,0,0,0,0,0
0,1534344738707.0,279.9,0,0,0,0,0,0,0,0
0,1534344739455.0,0,0,227.0,0,0,0,0,0,0
0,1534344739707.0,277.9,0,0,0,0,0,0,0,0
0,1534344740392.0,0,0,0,0,0,0,220.0,0,0
0,1534344740688.0,0,0,0,515.0,0,0,0,0,0
0,1534344740707.0,394.0,0,0,0,0,0,0,0,0
0,1534344741455.0,0,0,225.0,0,0,0,0,0,0
0,1534344741707.0,273.3,0,0,0,0,0,0,0,0
0,1534344742392.0,0,0,0,0,0,0,221.0,0,0
0,1534344742688.0,0,0,0,281.0,0,0,0,0,0
0,1534344743707.0,222.0,0,0,0,0,0,0,0,0
0,1534344744707.0,291.0,0,0,0,0,0,0,0,0
0,1534344745392.0,0,0,0,0,0,0,226.0,0,0
0,1534344745455.0,0,0,320.05,0,0,0,0,0,0
0,1534344745707.0,388.0,0,0,0,0,0,0,0,0
0,1534344746103.0,0,227.0,0,0,0,0,0,0,0
0,1534344746688.0,0,0,0,220.0,0,0,0,0,0
0,1534344747271.0,0,0,0,0,0,268.0,0,0,0
0,1534344747707.0,276.0,0,0,0,0,0,0,0,0
