LocalTime,RPS,GET_Token_wCredentials,ACC_PUT_Flags,ACC_GET_Freebets,ACC_GET_Balance,ACC_GET_Limits_Dep,ACC_GET_Preferences,ACC_GET_Status,ACC_GET_Services,ACC_GET_Accounts,ACC_GET_Joint
1534344722776.0,2.467,0,0,0,0,368.0,0,0,0,0,0
1534344723224,2.5,0,0,0,0,0,0,0,0,0,0
1534344723506.0,2.6,0,0,0,253.1,0,0,0,0,0,0
1534344724224,2.7,0,0,0,0,0,0,0,0,0,0
1534344724506.0,2.65,0,0,0,253.7,0,0,0,0,0,0
1534344725224,2.6,0,0,0,0,0,0,0,0,0,0
1534344725224.0,2.625,811.0,0,0,0,0,0,0,0,0,0
1534344725506.0,2.65,0,0,0,250.4,0,0,0,0,0,0
1534344725664.0,2.675,0,0,0,0,0,0,240.0,0,0,0
1534344726224,2.7,0,0,0,0,0,0,0,0,0,0
1534344726593.0,2.7,0,0,0,0,0,395.0,0,0,0,0
1534344726664.0,2.7,0,0,0,0,0,0,237.0,0,0,0
1534344727224,2.7,0,0,0,0,0,0,0,0,0,0
1534344727506.0,2.7,0,0,0,233.0,0,0,0,0,0,0
1534344727593.0,2.7,0,0,0,0,0,244.0,0,0,0,0
1534344727776.0,2.7,0,0,0,0,371.0,0,0,0,0,0
1534344728224,2.7,0,0,0,0,0,0,0,0,0,0
1534344728506.0,2.9,0,0,0,792.0,0,0,0,0,0,0
1534344729224,3.1,0,0,0,0,0,0,0,0,0,0
1534344729224.0,3.08,1187.0,0,0,0,0,0,0,0,0,0
1534344729506.0,3.06,0,0,0,467.8,0,0,0,0,0,0
1534344729593.0,3.04,0,0,0,0,0,253.0,0,0,0,0
1534344729664.0,3.02,0,0,0,0,0,0,233.0,0,0,0
1534344730224,3.0,0,0,0,0,0,0,0,0,0,0
1534344730506.0,2.975,0,0,0,243.0,0,0,0,0,0,0
1534344730593.0,2.95,0,0,0,0,0,263.0,0,0,0,0
1534344730776.0,2.925,0,0,0,0,369.0,0,0,0,0,0
1534344731224,2.9,0,0,0,0,0,0,0,0,0,0
1534344731506.0,2.933,0,0,0,233.0,0,0,0,0,0,0
1534344731536.0,2.967,0,0,0,0,0,0,0,0,0,386.0
1534344732224,3.0,0,0,0,0,0,0,0,0,0,0
1534344732304.0,3.067,0,0,257.0,0,0,0,0,0,0,0
1534344732506.0,3.133,0,0,0,237.85,0,0,0,0,0,0
1534344733224,3.2,0,0,0,0,0,0,0,0,0,0
1534344733224.0,3.2,702.0,0,0,0,0,0,0,0,0,0
1534344733506.0,3.2,0,0,0,247.7,0,0,0,0,0,0
1534344733593.0,3.2,0,0,0,0,0,242.0,0,0,0,0
1534344733776.0,3.2,0,0,0,0,372.6,0,0,0,0,0
1534344734224,3.2,0,0,0,0,0,0,0,0,0,0
1534344734506.0,3.267,0,0,0,255.0,0,0,0,0,0,0
1534344734776.0,3.333,0,0,0,0,537.0,0,0,0,0,0
1534344735224,3.4,0,0,0,0,0,0,0,0,0,0
1534344735506.0,3.2,0,0,0,245.5,0,0,0,0,0,0
1534344736224,3.0,0,0,0,0,0,0,0,0,0,0
1534344736593.0,3.133,0,0,0,0,0,247.0,0,0,0,0
1534344736776.0,3.267,0,0,0,0,372.0,0,0,0,0,0
1534344737224,3.4,0,0,0,0,0,0,0,0,0,0
1534344737224.0,3.44,761.0,0,0,0,0,0,0,0,0,0
1534344737304.0,3.48,0,0,258.55,0,0,0,0,0,0,0
1534344737536.0,3.52,0,0,0,0,0,0,0,0,0,233.0
1534344738055.0,3.56,0,0,0,0,0,0,0,240.0,0,0
1534344738224,3.6,0,0,0,0,0,0,0,0,0,0
1534344738506.0,3.55,0,0,0,248.0,0,0,0,0,0,0
1534344738532.0,3.5,0,0,0,0,0,0,0,0,238.0,0
1534344738664.0,3.45,0,0,0,0,0,0,386.0,0,0,0
1534344739224,3.4,0,0,0,0,0,0,0,0,0,0
1534344739532.0,3.367,0,0,0,0,0,0,0,0,242.0,0
1534344739924.0,3.333,0,248.0,0,0,0,0,0,0,0,0
1534344740224,3.3,0,0,0,0,0,0,0,0,0,0
1534344740506.0,3.325,0,0,0,292.0,0,0,0,0,0,0
1534344740532.0,3.35,0,0,0,0,0,0,0,0,251.0,0
1534344741055.0,3.375,0,0,0,0,0,0,0,684.0,0,0
1534344741224,3.4,0,0,0,0,0,0,0,0,0,0
1534344741224.0,3.5,1277.0,0,0,0,0,0,0,0,0,0
1534344741506.0,3.6,0,0,0,523.95,0,0,0,0,0,0
1534344741924.0,3.7,0,250.0,0,0,0,0,0,0,0,0
1534344742224,3.8,0,0,0,0,0,0,0,0,0,0
1534344742506.0,3.767,0,0,0,249.2,0,0,0,0,0,0
1534344742536.0,3.733,0,0,0,0,0,0,0,0,0,235.85
1534344743224,3.7,0,0,0,0,0,0,0,0,0,0
1534344743506.0,3.7,0,0,0,234.0,0,0,0,0,0,0
1534344743776.0,3.7,0,0,0,0,506.15,0,0,0,0,0
1534344744224,3.7,0,0,0,0,0,0,0,0,0,0
1534344744506.0,3.65,0,0,0,236.0,0,0,0,0,0,0
1534344744776.0,3.6,0,0,0,0,373.0,0,0,0,0,0
1534344745055.0,3.55,0,0,0,0,0,0,0,255.0,0,0
1534344745224,3.5,0,0,0,0,0,0,0,0,0,0
1534344745224.0,3.65,723.0,0,0,0,0,0,0,0,0,0
1534344745506.0,3.8,0,0,0,241.75,0,0,0,0,0,0
1534344745776.0,3.95,0,0,0,0,372.0,0,0,0,0,0
1534344746224,4.1,0,0,0,0,0,0,0,0,0,0
1534344746506.0,4.05,0,0,0,247.5,0,0,0,0,0,0
1534344746664.0,4.0,0,0,0,0,0,0,381.0,0,0,0
1534344746776.0,3.95,0,0,0,0,371.95,0,0,0,0,0
1534344747224,3.9,0,0,0,0,0,0,0,0,0,0
