LocalTime,RPS,GET_Token_wCredentials,SBR_GET_Events_$EventID_Racecard,BET_PUT_Combinations_Racing,SBS_GET_Events_$EventId_SportCard,BET_POST_Bets_Win_Racing,SBS_GET_Events_$EventId_MarketGroupings_$MarketGrouping_Markets,BET_POST_Bets_Win_Sport,BET_POST_Bets_Quinella
1534344682227,1.3,0,0,0,0,0,0,0,0
1534344682227.0,1.3,780.0,0,0,0,0,0,0,0
1534344683227,1.3,0,0,0,0,0,0,0,0
1534344684026.0,1.3,0,498.0,0,0,0,0,0,0
1534344684227,1.3,0,0,0,0,0,0,0,0
1534344685227,1.3,0,0,0,0,0,0,0,0
1534344685227.0,1.3,768.0,0,0,0,0,0,0,0
1534344685514.0,1.3,0,0,843.0,0,0,0,0,0
1534344686227,1.3,0,0,0,0,0,0,0,0
1534344687026.0,1.3,0,264.0,0,0,0,0,0,0
1534344687227,1.3,0,0,0,0,0,0,0,0
1534344687465.0,1.3,0,0,0,719.0,0,0,0,0
1534344688227,1.3,0,0,0,0,0,0,0,0
1534344688636.0,1.3,0,0,0,0,779.0,0,0,0
1534344689186.0,1.3,0,0,0,0,0,319.0,0,0
1534344689227,1.3,0,0,0,0,0,0,0,0
1534344689227.0,1.3,775.0,0,0,0,0,0,0,0
1534344690026.0,1.3,0,124.0,0,0,0,0,0,0
1534344690227,1.3,0,0,0,0,0,0,0,0
1534344690508.0,1.3,0,0,0,0,0,0,947.0,0
1534344691026.0,1.3,0,126.0,0,0,0,0,0,0
1534344691227,1.3,0,0,0,0,0,0,0,0
1534344691514.0,1.333,0,0,506.0,0,0,0,0,0
1534344692026.0,1.367,0,126.0,0,0,0,0,0,0
1534344692227,1.4,0,0,0,0,0,0,0,0
1534344692514.0,1.45,0,0,894.0,0,0,0,0,0
1534344693227,1.5,0,0,0,0,0,0,0,0
1534344693227.0,1.525,1022.0,0,0,0,0,0,0,0
1534344693514.0,1.55,0,0,1470.0,0,0,0,0,0
1534344694026.0,1.575,0,127.0,0,0,0,0,0,0
1534344694227,1.6,0,0,0,0,0,0,0,0
1534344695026.0,1.7,0,127.85,0,0,0,0,0,0
1534344695227,1.8,0,0,0,0,0,0,0,0
1534344695514.0,1.9,0,0,789.2,0,0,0,0,0
1534344696026.0,2.0,0,121.0,0,0,0,0,0,0
1534344696227,2.1,0,0,0,0,0,0,0,0
1534344696514.0,2.1,0,0,873.25,0,0,0,0,0
1534344697227,2.1,0,0,0,0,0,0,0,0
1534344697227.0,2.1,787.0,0,0,0,0,0,0,0
1534344698026.0,2.1,0,134.1,0,0,0,0,0,0
1534344698227,2.1,0,0,0,0,0,0,0,0
1534344698514.0,2.2,0,0,380.0,0,0,0,0,0
1534344699026.0,2.3,0,119.0,0,0,0,0,0,0
1534344699227,2.4,0,0,0,0,0,0,0,0
1534344699465.0,2.42,0,0,0,518.0,0,0,0,0
1534344699514.0,2.44,0,0,777.0,0,0,0,0,0
1534344700026.0,2.46,0,122.0,0,0,0,0,0,0
1534344700186.0,2.48,0,0,0,0,0,391.0,0,0
1534344700227,2.5,0,0,0,0,0,0,0,0
1534344700514.0,2.45,0,0,791.6,0,0,0,0,0
1534344701227,2.4,0,0,0,0,0,0,0,0
1534344701227.0,2.425,818.0,0,0,0,0,0,0,0
1534344701508.0,2.45,0,0,0,0,0,0,612.0,0
1534344702026.0,2.475,0,124.0,0,0,0,0,0,0
1534344702227,2.5,0,0,0,0,0,0,0,0
1534344703026.0,2.65,0,125.0,0,0,0,0,0,0
1534344703227,2.8,0,0,0,0,0,0,0,0
1534344703465.0,2.833,0,0,0,283.0,0,0,0,0
1534344703514.0,2.867,0,0,386.0,0,0,0,0,0
1534344703636.0,2.9,0,0,0,0,693.0,0,0,0
1534344704026.0,2.933,0,124.7,0,0,0,0,0,0
1534344704186.0,2.967,0,0,0,0,0,295.0,0,0
1534344704227,3.0,0,0,0,0,0,0,0,0
1534344704514.0,3.0,0,0,1338.7,0,0,0,0,0
1534344705227,3.0,0,0,0,0,0,0,0,0
1534344705227.0,2.96,945.0,0,0,0,0,0,0,0
1534344705508.0,2.92,0,0,0,0,0,0,767.0,0
1534344705514.0,2.88,0,0,955.0,0,0,0,0,0
1534344706026.0,2.84,0,330.0,0,0,0,0,0,0
1534344706227,2.8,0,0,0,0,0,0,0,0
1534344707026.0,2.95,0,124.25,0,0,0,0,0,0
1534344707227,3.1,0,0,0,0,0,0,0,0
1534344707514.0,3.233,0,0,787.0,0,0,0,0,0
1534344708026.0,3.367,0,121.0,0,0,0,0,0,0
1534344708227,3.5,0,0,0,0,0,0,0,0
1534344708465.0,3.5,0,0,0,281.0,0,0,0,0
1534344708466.0,3.5,0,0,0,0,0,0,0,636.0
1534344708514.0,3.5,0,0,796.0,0,0,0,0,0
1534344709186.0,3.5,0,0,0,0,0,236.0,0,0
1534344709227,3.5,0,0,0,0,0,0,0,0
1534344709227.0,3.475,812.0,0,0,0,0,0,0,0
1534344709514.0,3.45,0,0,740.0,0,0,0,0,0
1534344710026.0,3.425,0,115.95,0,0,0,0,0,0
1534344710227,3.4,0,0,0,0,0,0,0,0
1534344710508.0,3.5,0,0,0,0,0,0,729.0,0
1534344710514.0,3.6,0,0,375.0,0,0,0,0,0
1534344711026.0,3.7,0,134.5,0,0,0,0,0,0
1534344711227,3.8,0,0,0,0,0,0,0,0
1534344711514.0,3.9,0,0,754.0,0,0,0,0,0
1534344712026.0,4.0,0,120.8,0,0,0,0,0,0
1534344712227,4.1,0,0,0,0,0,0,0,0
1534344712465.0,4.05,0,0,0,559.0,0,0,0,0
1534344712514.0,4.0,0,0,914.5,0,0,0,0,0
1534344712636.0,3.95,0,0,0,0,362.0,0,0,0
1534344713227,3.9,0,0,0,0,0,0,0,0
1534344713227.0,3.92,599.0,0,0,0,0,0,0,0
1534344713514.0,3.94,0,0,393.0,0,0,0,0,0
1534344714026.0,3.96,0,122.6,0,0,0,0,0,0
1534344714186.0,3.98,0,0,0,0,0,414.0,0,0
1534344714227,4.0,0,0,0,0,0,0,0,0
1534344715026.0,4.05,0,118.0,0,0,0,0,0,0
1534344715227,4.1,0,0,0,0,0,0,0,0
1534344715466.0,4.18,0,0,0,0,0,0,0,451.0
1534344715508.0,4.26,0,0,0,0,0,0,705.0,0
1534344715514.0,4.34,0,0,776.7,0,0,0,0,0
1534344716026.0,4.42,0,146.4,0,0,0,0,0,0
